Id,urls,text,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami
An adequate understanding of the English language required by students who undertake study for the NEBOSH Environmental Management Certificate must be to such degree that they can both understand and articulate the key concepts contained within the course syllabus.
Examinable Units
There are two major course Units (EC1 & EC2) to successfully complete before you become fully certified with the NEBOSH Environmental Management Certificate qualification.
Exam Venue
The examinations are held four times each year and are to be taken on location at a registered NEBOSH examination centre. Additional sitting fees may be applicable based on the exam centre venue.
A full breakdown of exam fees can be seen here.
Exam Schedule
The examinations are scheduled on NEBOSH standard examination dates in the months of March / June / September / December.
Written Exam Papers
Examinations comprise of one 2-hour written papers for each of the core unit modules (namely EC1), which means there is one, 2-hour examination in total. Each written papers consists of one long answer question and ten short answer questions.
Practical Exam Papers
Students must also complete a practical inspection report assessment, which consists of carrying out a risk assessment of a workplace and preparing a short report – this is known as Unit EC2.
How your NEBOSH papers are marked
The core Unit exam papers will be marked by approved NEBOSH examiners that provide basic feedback and an overall grade. You need to gain a total minimum passing grade of 105 to 124 for both of the core Unit exam papers combined. The Unit EC2 inspection report is graded by your assigned SHEilds tutor.
IMPORTANT! Only students who have enrolled with NEBOSH through an accredited NEBOSH Environmental approved training centre are eligible to register for the examination.
Let’s see what resources, tools and technologies are included within this NEBOSH Environmental Management Certificate eLearning course.
eLearning is an online classroom, which can be accessed any time/any where, fully supported by SHEilds team of accredited Tutors in the UK.
We have developed a multitude of interactions to nurture your learning style and stretch your abilities, giving you the best prospects for success.
SHEilds are a global leader in eLearning Construction course training and delivery, specialising internationally in health, safety and environmental qualifications and accredited by the awarding body of the UK’s National Examination Board of Occupational Safety & Health (NEBOSH) centre number 548
Course Syllabus: Unit IGC1 Management of International Health and Safety Unit ICC1 Managing and controlling Hazards in International Construction Activities Unit ICC2 International Construction Health and Safety Practical Application
There are Nine individual Unit Modules within this NEBOSH Certificate in Environmental Management course syllabus via eLearning.
This course is split up in to 2 core Units, EC1 and EC2.
Hover over each Unit icon to show topics covered
Download the Syllabus
what you will learn from this Environmental Management Certificate
Breaking down what you will learn in Unit EC1:
What you will learn in Unit EC2 (Practical Application):
All your NEBOSH study materials in one convenient place
For this NEBOSH Environmental Certificate course, you will use a specially designed easy to use online platform, which allows you to study online, attempt practice questions and interact with your tutor and fellow students.
I want to know more about this Environmental Management Certificate Course
If you’d rather call to discuss your options please use the details below.
We are available during normal office hours depending upon the region, should we not be available, please leave us a message with your name and telephone number and we will call you back as soon as possible.
We have created a chart to show the NQF level of each SHEilds Qualification. This certificate is equivalent to an A Level.
Contact us
UK: +44(0)1482 806 805
South Africa: +2711 675 4177
Dubai: +971 4 375 4012
or Send your details, we’ll get in touch with you . ",False,True,False,False,False,False,False,False,True,False,False,False,False
norden,https://www.norden.org/en/environmentprize https://www.norden.org/en/organisation/nordic-council-ministers-environment-and-climate-mr-mk ,"Sustainable food systems: Propose candidates for the 2021 Nordic Council Environment Prize
The theme of the 2021 Nordic Council Environment Prize is sustainable food systems, and you can now propose candidates for the prize. The prize of DKK 300,000 will be awarded to someone in the Nordic Region who has done something special to contribute to the development of sustainable f... . The Council of Ministers for the Environment and Climate (MR-MK) is responsible for the Nordic inter-governmental co-operation on environmental issues. Its remit includes preserving and enhancing the quality of the environment and of life in the Region and exerting influence on regional and international co-operation.
Search
Information
Nordisk Ministerråd Vækst og Klima Ved Stranden 18 1061 København K . ",False,True,False,False,False,False,False,False,True,False,False,False,False
sensirion,https://www.sensirion.com/en/environmental-sensors/ ,"Environmental Sensors
Environmental conditions have a major impact on our well-being, comfort, and productivity. Sensirion’s sensor solutions provide detailed and reliable data on key environmental parameters such as humidity, temperature, volatile organic compounds (VOCs), formaldehyde, particulate matter (PM2.5), and CO2. Environmental Sensing opens up new possibilities to create smarter devices that improve our comfort and well-being as well as increase energy efficiency in a wide variety of applications.
See our environmental sensing brochure
Product Highlights
The SFA30 is Sensirion’s new digital formaldehyde sensor designed for easy integration into air purifiers, demand-controlled ventilation systems, or indoor air quality monitors. Based on Sensirion’s electrochemical technology, the SFA30 offers excellent formaldehyde sensing performance with a uniquely low cross-sensitivity to other VOCs. The sensor module’s on-board SHT sensor provides accurate humidity and temperature readings and enables a fully temperature/humidity compensated and factory calibrated formaldehyde concentration output in ppb.
The SEK-SCD41 evaluation kit represents the perfect tool kit for effective SCD4x sensor evaluation and efficient prototyping. The evaluation kit contains a SCD41 CO2 sensor mounted on a development board with a JST connector and through-hole pins. The included adapter cable (JST-Ethernet) connects to Sensirion’s SEK-SensorBridge for easy evaluation of the sensor via the SEK-ControlCenter viewer software. Finally, the kit contains a 4-pin jumper wire cable that enables fast prototyping, e.g. through integration into existing platforms (like Arduino, Raspberry Pi and so on).
Videos
Key Environmental Parameters
Carbon Dioxide
CO2 is part of the human metabolism. It is produced when, for example, carbohydrates are metabolized to generate energy. The produced CO2 is then transported out of the body by respiration. The CO2 concentration in the inhaled air is decisive for the metabolism. Depending on the level of the concentration in the air breathed in, various symptoms can occur that affect daily life and health. High CO2 concentrations in the air we breathe lead to concentration problems and fatigue. The performance potential of people in the room decreases constantly the higher the amount of CO2 in the air gets. Furthermore, CO2 concentrations relate to the potential of virus infections.
The level of CO2 in the air can be thought of as a ""traffic light"" system: Green is between 400–1'000 ppm; yellow is between 1'000–1'600 ppm and is where 80% of people are satisfied with perceived air quality; red is ≥1'600 ppm and is where there are detectable negative impacts on human health and well-being. At this level, the air quality is considered poor and the risk of viral transmission is increased.
Humidity and Temperature
Do you find it hard to breathe in your home some days? Are you more prone to headaches and asthma attacks during the summer months? You’re not allergic to heat - but you may have serious humidity problems in your home or office. When we talk about indoor air quality, humidity is one of the main things we’re referring to. Too high or too low humidity levels in closed spaces can lead to various issues. For example, bacteria and viruses that cause respiratory infections thrive in extremely high and extremely low humidity. Mold spores, dust mites and other allergens survive best in high humidity environments. Furthermore, higher humidity can increase the levels of noxious chemicals in the air, which may include ozone and formaldehyde.
40-60 % relative humidity is an optimal level for the immune system and our respiratory system. It reduces the spread of seasonal respiratory diseases and increases well-being. Scientists are therefore calling on the WHO (World Health Organization) to revise the global guidelines for indoor air quality with the petition 40to60RH. Click here to learn more about it.
Volatile Organic Compounds (VOCs)
VOCs originate from a number of different possible sources, like building materials, tobacco smoke, people and their activities, and indoor chemical reactions. Exceptionally high VOC levels are typically found in new buildings or after renovation. Further, when using products that contain VOCs, such as air fresheners or cleaning agents, people expose themselves and others to high pollutant levels that can persist long after the activity has finished. A number of systematic human exposure studies have shown various adverse health
effects caused by exposure to elevated VOC levels. Among the effects reported by participants are dryness and irritation of the eye, the nose and the throat, headaches, and dizziness.
Sensirion’s powerful VOC Algorithm analyzes VOC events detected by the SGP40 sensor and maps them to a VOC Index. This VOC Index provides a practical quantification of VOC events relative to each individual sensor’s typical indoor environment. In this way, it behaves similarly to the human nose, which is highly susceptible to changes in odor, but it also detects VOC events that are not perceived by humans. The VOC Index indicates to what extent the indoor air quality has deteriorated or improved compared to the sensor’s typical VOC environment. Learn more about the VOC index at www.sensirion.com/sgp40.
Particulate Matter (PM2.5)
Particulate Matter (PM) is a complex mixture of solids and aerosols composed of small droplets of liquid, dry solid fragments, and solid cores with liquid coatings. Particles are defined by their diameter for air quality regulatory purposes. Those with a diameter of 10 microns or less (PM10) are inhalable into the lungs and can induce adverse health effects. A number of adverse health impacts have been associated with exposure to PM2.5. Short-term exposures (up to 24-hours duration) have been associated with premature mortality, increased hospital admissions for heart or lung causes, acute and chronic bronchitis, asthma attacks, emergency room visits, respiratory symptoms, and restricted activity days.
Indoor PM levels are dependent on several factors including outdoor levels, infiltration, types of ventilation and filtration systems used, indoor sources, and personal activities of occupants. In homes without smoking or other strong particle sources, indoor PM would be expected to be the same as, or lower than, outdoor levels. To know what the limits of PM exposure are, please consider official air quality standards. The US Environmental Protection Agency defines the AQI levels as follows: With regard to primary (health-based) standards for fine particles (generally referring to particles less than or equal to 2.5 micrometers (mm) in diameter, PM2.5), the EPA is revising the annual PM2.5 standard by lowering the level to 12.0 micrograms per cubic meter (mg/m3) so as to provide increased protection against health effects associated with long- and short-term exposures (including premature mortality, increased hospital admissions and emergency department visits, and development of chronic respiratory disease), and to retain the 24-hour PM2.5 standard at a level of 35 mg/m3.
Formaldehyde
Formaldehyde (chemical formula H2-C=O or often HCHO) is a colorless gas and the simplest organic molecule containing C, O, and H. It is highly reactive and has several natural and man-made sources. Formaldehyde concentrations are much higher indoors than outdoors and hence formaldehyde is qualified as a very specific indoor pollutant.
The most significant sources of formaldehyde are likely to be pressed wood products such as particleboard, plywood, or medium-density fiber board (MDF) made using formaldehyde-based resins. These materials are frequently used as sub-flooring and shelving and in cabinetry and furniture. Elevated formaldehyde concentrations can be present in freshly built, furnished, or painted rooms for months.
Health effects
In relevant concentrations, formaldehyde is a pungent-smelling gas, can cause watery eyes, burning sensations in the eyes and throat, nausea, and difficulty in breathing. Sensory irritation by formaldehyde has been reported for concentrations as low as 0.15 mg/m3 (120 ppb). High concentrations may trigger attacks in people with asthma. There is evidence that some people can develop a sensitivity to formaldehyde. It has also been shown to cause cancer in animals and formaldehyde is classified by IARC as carcinogenic to humans (Group 1).
Guidelines and Standards
The WHO has established an indoor air quality guideline for exposure to formaldehyde of 0.1 mg/m3 (80 ppb) as a 30-minute average. Local guidelines range from 8 ppb to 100 ppb depending on the environment and duration of exposure
With Our Environmental Sensing Solutions, We Improve…
Health
Your health is your greatest asset. In order to enable more people to live longer, healthier and happier lives, Sensirion has developed sensor solutions to improve medical devices and smart home applications such as air purifiers and air cleaners.
Quality Of Life
Deep down, everyone is looking to increase their quality of life, and Sensirion’s unique, intelligent sensor solutions do just that. As the leading international manufacturer of environmental sensor solutions, we offer our clients sensor solutions for increased convenience and security.
Energy Efficiency
With efficient systems, we have the chance to significantly improve the global energy balance and make a major contribution to environmental protection. Through energy-efficient applications, we can counteract the constantly growing energy consumption around the world and at the same time reduce harmful emissions. That’s why we offer our clients in a wide variety of industries sensor solutions for sustainable and efficient energy management.
Hot Topics
Reduce the risk of virus infection in classrooms
Ventilate indoor spaces regularly and thoroughly - this is recommended by the Federal Environment Agency to reduce the risk of Sars CoV-2 infection. This announcement is particularly relevant in view of the fact that the school has started again at full class size. For this reason, the supply of fresh air in the classrooms should also be as high as possible, regardless of other protective measures such as keeping minimum distances or wearing a mouth-and-nose cover. After all, droplets and tiny aerosol particles should play a decisive role in the transmission of Sars-CoV-2. Especially the aerosol particles that are produced when breathing, coughing, speaking and sneezing can float in the air for hours or days, according to current knowledge. Consistent ventilation can significantly reduce the risk of infection, but cannot provide 100% protection.
Petition ""40to60RH""
It has been proven that indoor humidity plays an important role in preventing virus transmission and improving the response of the immune system. Extensive research shows that a relative humidity (RH) between 40% and 60% is optimal to minimise the spread of viruses such as influenza. Scientists are therefore calling on the WHO to revise the global guidelines for indoor air quality.
The importance of indoor humitidy is crucial to us. As market leader in humidity sensing it is important to us to support petition 40to60RH. Improving people's health is part of our mission and therefore we encourage everyone to support this petition to gain the attention of the World Health Organization.
Support the petition and learn more about it: www.40to60rh.com
Become Part of the Sensirion-World
With Sensirion's preference-based newsletter, we provide you with exactly the information you need. Let us know what content is of interest to you and secure access to exclusive knowledge. Sensirion's newsletters offer insights into current topics, new products, trade fairs and the company as a workplace.
Test Our Environmental Sensors with Sensirion's Evaluation Kit
With plug-and-play hardware, user-friendly viewer software and compatibility with all environmental sensors, SEK-Environmental Sensing makes evaluation easier and faster than ever before. This allows our customers to focus on developing innovative sensor applications.
Complete Solutions Provider
With more than 15 years’ experience in the development and supply of environmental sensor solutions, we lead the field in sensor technology innovation. We provide the sensor hardware and support our customers during the design-in, the development of sophisticated algorithms and the industrialization all the way to mass production. In addition to providing unparalleled performance, we also focus on key characteristics such as size, ultra-low power consumption, fully calibrated digital output and compatible supply voltages.
Innovation Pioneer
Thanks to our patented CMOSens® Technology, Sensirion was the first company to offer an automotive-grade, digital humidity sensor with a calibrated and linearized signal output. As an innovation-driven company, we did not stop with state-of-the-art humidity sensors, but have continued to develop other sensor types, such as mass flow meters and controllers for gases, differential pressure sensors and liquid flow sensors. We are always keen to find new sensor solutions for demanding applications, which is why our environmental sensor solutions portfolio constantly looks to the future.
Related Products
Digital Humidity Sensor SHTW2 (RH/T) (NRND)
The ultra-small, digital 1.8 V SHTW2 humidity sensor convinces with its low power consumption and proven performance. Therefore it opens up countless opportunities for the Internet of Things.
Your Contact to Sensirion
Here you find the nearest distributor and/or representative in your area. . ",False,True,False,False,False,False,False,False,True,False,False,False,False
biomedcentral,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0152-8 ,"- Systematic Map Protocol
- Open Access
- Published:
Evidence of the impacts of metal mining and the effectiveness of mining mitigation measures on social–ecological systems in Arctic and boreal regions: a systematic map protocol
Environmental Evidence volume 8, Article number: 9 (2019)
86k Accesses
6 Citations
26 Altmetric
-
Abstract
Background
Mining activities, including prospecting, exploration, construction, operation, maintenance, expansion, abandonment, decommissioning and repurposing of a mine can impact social and environmental systems in a range of positive and negative, and direct and indirect ways. Mining can yield a range of benefits to societies, but it may also cause conflict, not least in relation to above-ground and sub-surface land use. Similarly, mining can alter environments, but remediation and mitigation can restore systems. Boreal and Arctic regions are sensitive to impacts from development, both on social and environmental systems. Native ecosystems and aboriginal human communities are typically affected by multiple stressors, including climate change and pollution, for example.
Methods
We will search a suite of bibliographic databases, online search engines and organisational websites for relevant research literature using a tested search strategy. We will also make a call for evidence to stakeholders that have been identified in the wider 3MK project (https://osf.io/cvh3u/). We will screen identified and retrieved articles at two distinct stages (title and abstract, and full text) according to a predetermined set of inclusion criteria, with consistency checks at each level to ensure criteria can be made operational. We will then extract detailed information relating to causal linkages between actions or impacts and measured outcomes, along with descriptive information about the articles and studies and enter data into an interactive systematic map database. We will visualise this database on an Evidence Atlas (an interactive, cartographic map) and identify knowledge gaps and clusters using Heat Maps (cross-tabulations of important variables, such as mineral type and studied impacts). We will identify good research practices that may support researchers in selecting the best study designs where these are clear in the evidence base.
Background
On the impacts of mining
Mining activities, including prospecting, exploration, construction, operation, maintenance, expansion, abandonment, decommissioning and repurposing of a mine can impact social and environmental systems in a range of positive and negative, and direct and indirect ways. Mine exploration, construction, operation, and maintenance may result in land-use change, and may have associated negative impacts on environments, including deforestation, erosion, contamination and alteration of soil profiles, contamination of local streams and wetlands, and an increase in noise level, dust and emissions (e.g. [1,2,3,4,5]). Mine abandonment, decommissioning and repurposing may also result in similar significant environmental impacts, such as soil and water contamination [6,7,8]. Beyond the mines themselves, infrastructure built to support mining activities, such as roads, ports, railway tracks, and power lines, can affect migratory routes of animals and increase habitat fragmentation [9, 10].
Mining can also have positive and negative impacts on humans and societies. Negative impacts include those on human health (e.g. [11]) and living standards [12], for example. Mining is also known to affect traditional practices of Indigenous peoples living in nearby communities [13], and conflicts in land use are also often present, as are other social impacts including those related to public health and human wellbeing (e.g. [14,15,16,17]. In terms of positive impacts, mining is often a source of local employment and may contribute to local and regional economies [18, 19]. Remediation of the potential environmental impacts, for example through water treatment and ecological restoration, can have positive net effects on environmental systems [20]. Mine abandonment, decommissioning and repurposing can also have both positive and negative social impacts. Examples of negative impacts include loss of jobs and local identities [21], while positive impact can include opportunities for new economic activities [22], e.g. in the repurposing of mines to become tourist attractions.
Mitigation measures
‘Mitigation measures’ (as described in the impact assessment literature) are implemented to avoid, eliminate, reduce, control or compensate for negative impacts and ameliorate impacted systems [23]. Such measures must be considered and outlined in environmental and social impact assessments (EIAs and SIAs) that are conducted prior to major activities such as resource extraction [24, 25]. Mitigation of negative environmental impacts in one system (e.g. water or soil) can influence other systems such as wellbeing of local communities and biodiversity in a positive or negative manner [23]. A wide range of technological engineering solutions have been implemented to treat contaminated waters (e.g. constructed wetlands [26], reactive barriers treating groundwater [27], conventional wastewater treatment plants). Phytoremediation of contaminated land is also an area of active research [28].
Mitigation measures designed to alleviate the negative impacts of mining on social and environmental systems may not always be effective, particularly in the long-term and across systems, e.g. a mitigation designed to affect an environmental change may have knock on changes in a social system. Indeed, the measures may have unintentional adverse impacts on environments and societies. To date, little research appears to have been conducted into mitigation measure effectiveness, and we were unable to find any synthesis or overview of the systems-level effectiveness of metal mining mitigation measures.
Mining in the Arctic
Boreal and Arctic regions are sensitive to impacts from mining and mining-related activities [29, 30], both on social and environmental systems: these northern latitudes are often considered harsh and thus challenging for human activities and industrial development. However, the Arctic is home to substantial mineral resources [31, 32] and has been in focus for mining activities for several 100 years, with a marked increase in the early 20th century and intensifying interest in exploration and exploitation in recent years to meet a growing global demand for metals (Fig. 1). Given the region’s geological features and society’s need for metals, resource extraction is likely to dominate discourse on development of northern latitudes in the near future. As of 2015, there were some 373 mineral mines across Alaska, Canada, Greenland, Iceland, The Faroes, Norway (including Svalbard), Sweden, Finland and Russia (see Table 1), with the top five minerals being gold, iron, copper, nickel and zinc [33].
Many topics relating to mining and its impacts on environmental and social systems are underrepresented in the literature as illustrated by the following example. The Sami people are a group of traditional people inhabiting a region spanning northern Norway, Sweden, Finland and Russia. Sami people are affected by a range of external pressures, one of which pertains to resource extraction and land rights, particularly in relation to nomadic reindeer herding. However, there is almost no published research on the topic [34].
The literature on the environmental and social impacts of mining has grown in recent years, but despite its clear importance, there has been little synthesis of research knowledge pertaining to the social and environmental impacts of metal mining in Arctic and boreal regions. The absence of a consolidated knowledge base on the impacts of mining and the effectiveness of mitigation measures in Arctic and boreal regions is a significant knowledge gap in the face of the continued promotion of extractive industries. There is thus an urgent need for approaches that can transparently and legitimately gather research evidence on the potential environmental and social impacts of mining and the impacts of associated mitigation measures in a rigorous manner.
Stakeholder engagement
This systematic map forms a key task within a broader knowledge synthesis project called 3MK (Mapping the impacts of Mining using Multiple Knowledges, https://osf.io/cvh3u/). The stakeholder group for this map includes representatives of organisations affected by the broader 3MK project knowledge mapping project or who have special interests in the project outcome. We define stakeholders here as all individuals or organisations that might be affected by the systematic map work or its findings [35, 36], and thus broadly includes researchers and the Working and Advisory Group for this project.
Invitations to be included in this group were based on an initial stakeholder mapping process and soliciting expressions of interest (see Stakeholder Engagement Methodology Document, https://osf.io/cvh3u/). This group included government ministries and agencies such as the Ministry of Enterprise and Innovation, the Mineral Inspectorate (Bergstaten) and County Administrative Boards, the mining industries’ branch organisation (Svemin) and individual companies such as LKAB Minerals and Boliden AB, Sami organisations, including the Sami Parliament, related research projects, and representatives of international assessment processes, such as activities within the Arctic Council. Stakeholders were invited to a specific meeting (held at Stockholm Environment Institute in September 2018) to help refine the scope, define the key elements of the review question, finalise a search strategy, and suggest sources of evidence, and also to subsequently provide comments on the structure of the protocol .
Objective of the review
The broader 3MK project aims to develop a multiple evidence base methodology [37] combining systematic review approaches with documentation of Indigenous and local knowledge and to apply this approach in a study of the impacts of metal mining and impacts of mitigation measures. This systematic map aims to answer the question:
What research evidence exists on the impacts of metal mining and its mitigation measures on social and environmental systems in Arctic and boreal regions?
The review question has the following key elements:
- Population: :
Social, technological (i.e. industrial contexts, heavily altered environments, etc.) and environmental systems in circumpolar Arctic and boreal regions.
- Intervention/exposure: :
Impacts (direct and indirect, positive and negative) associated with metal mining (for gold, iron, copper, nickel, zinc, silver, molybdenum and lead) or its mitigation measures. We focus on these metals as they represent approximately 88% of Arctic and boreal mines (according to relevant country operating mine data from 2015, [33]), and contains the top 5 minerals extracted in the region (gold, iron, copper, nickel and zinc). Furthermore, these minerals include all metals mined within Sweden, the scope of a related workstream within the broader 3MK project (https://osf.io/cvh3u/).
- Comparator: :
For quantitative research; the absence of metal mining or metal mining mitigation measures—either prior to an activity or in an independent, controlled location lacking such impacts. Additionally, alternative mining systems is a suitable comparator. For qualitative research; comparators are typically implicit, if present and will thus not be required.
- Outcome: :
Any and all outcomes observed in social and environmental systems described in the literature will be iteratively identified and catalogued.
- Data type: :
Both quantitative and qualitative research will be included.
Methods
The review will follow the Collaboration for Environmental Evidence Guidelines and Standards for Evidence Synthesis in Environmental Management [38] and it conforms to ROSES reporting standards [39] (see Additional file 1).
Searching for articles
Bibliographic database searches
We will search bibliographic databases using a tested search string adapted to each database according to the necessary input syntax of each resource. The Boolean version of the search string that will be used in Web of Science Core Collections can be found in Additional file 2.
We will search across 17 bibliographic databases as show in Table 2. Bibliographic database searches will be performed in English only, since these databases catalogue research using English titles and abstracts.
Web-based search engines
Searches for academic (i.e. file-drawer) and organisational grey literature (as defined by [40]) will be performed in Google Scholar, which has been shown to be effective in retrieving these types of grey literature [41]. The search strings used to search for literature in Google Scholar are described in detail in Additional file 3.
Search results will be exported from Google Scholar using Publish or Perish [42], which allows the first 1000 results to be exported. These records will be added to the bibliographic database search results prior to duplicate removal.
Organisational websites
In order to identify organisational grey literature, we will search for relevant evidence across the suite of organisational websites listed in Table 3. For each website, we will save the first 100 search results from each search string as PDF/HTML files and screening the results in situ, recording all relevant full texts for inclusion in the systematic map database. The search terms used will be based on the same terms used in the Google Scholar searches described above but will be adapted iteratively for each website depending on the relevance of the results obtained. In addition, we will hand search each website to locate and screen any articles found in publications or bibliography sections of the sites. All search activities will be recorded and described in the systematic map report.
Bibliographic searches
Relevant reviews that are identified during screening will be reserved for assessment of potentially missed records. Once screening is complete (see below), we will screen the reference lists of these reviews and include relevant full texts in the systematic map database. We will also retain these relevant reviews in an additional systematic map database of review articles.
Estimating the comprehensiveness of the search
A set of 41 studies known to be relevant have been provided by the Advisory Team and Working Group (review team); the benchmark list (see Additional file 4). During scoping and development of the search string, the bibliographic database search results will be checked to ascertain whether any of these studies were not found. For any cases where articles on the benchmark list are missed by the draft search string, we will examine why these studies may have been missed and adapt the search string accordingly.
Search update
We will perform a search update immediately prior to completion of the systematic map database (i.e. once coding and meta-data is completed). The search strategy for bibliographic databases will be repeated using the same search string, restricting searches to the time period after the original searches were performed. New search results will be processed in the same way as original search results.
Assembling a library of search results
Following searching, we will combine results in a review management platform (e.g. EPPI-Reviewer) and duplicates will be removed using a combination of automated removal and manual screening.
Article screening and study eligibility criteria
Screening process
We will screen records at three levels: title, abstract and full text. Screening will be performed using a review management platform (e.g. Rayyan, EPPI Reviewer, Colandr).
Consistency checking
A subset of 10% of all titles and abstracts will be screened by two reviewers, with all disagreements discussed in detail. Refinements of the inclusion criteria will be made in liaison with the entire review team where necessary. A kappa test will be performed on the outputs of screening of this subset and where agreement is below k = 0.6, a further 10% of records will be screened and tested. Only when a kappa score of greater than 0.6 is obtained will a single reviewer screen the remaining records. Consistency checking on a subset of 10% will be undertaken at full text screening in a similar manner, followed by discussion of all disagreements. A kappa test will be performed and consistency checking repeated on a second subset of 10% where agreements is below k = 0.6. Consistency checking will be repeated until a score of greater than 0.6 is obtained.
Eligibility criteria
The following inclusion criteria will be used to assess relevance of studies identified through searching. All inclusion criteria will be used at full text screening, but we believe that data type and comparator are unlikely to be useful at title and abstract screening, since this information is often not well-reported in titles or abstracts.
- Eligible population: :
We will include social, technological and environmental systems in Arctic and boreal regions based on political boundaries as follows (this encompasses various definitions of boreal zones, rather than any one specific definition for comprehensiveness and ease of understanding): Canada, USA (Alaska), Greenland, Iceland, the Faroe Islands, Norway (including Svalbard), Sweden, Finland, and Russia.
- Eligible intervention/exposure: :
